country,gdp_per_capita,urbanization_rate,industry_share,agriculture_share,secondary_gross_enrollment_rate,tertiary_gross_enrollment_rate,population_growth,youth_dependency_ratio,internet_penetration,electricity_access,inflation_rate,trade_percent_gdp,fdi_inflow,credit_to_private_sector,remittances_percent_gdp,govt_consumption_percent_gdp,gross_savings_percent_gdp,services_share,adult_literacy_rate,life_expectancy_at_birth,fertility_rate,primary_gross_enrollment_rate,age_dependency_ratio,old_age_dependency_ratio,fixed_broadband_subscriptions_per_100,mobile_cellular_subscriptions_per_100,real_interest_rate,export_volume_index,external_debt_percent_gni,govt_expenditure_on_education_percent_gdp,tax_revenue_percent_gdp,fiscal_balance_percent_gdp,broad_money_percent_gdp,gross_capital_formation_percent_gdp,electricity_consumption_kwh_per_capita,renewable_energy_consumption_percent,fossil_fuel_energy_consumption_percent,international_tourism_receipts_usd,international_tourism_receipts_percent,trade_in_services_percent_gdp,year
Bangladesh,655.672139362272,24.756,22.8392543728467,20.5841344226366,51.418098449707,6.13536977767944,1.54340635736975,61.2294160464584,0.14,37.8,3.33256493271913,28.9673807211649,0.0955793676464671,26.2081249737496,5.22266923917607,5.02264856478482,30.7491764310818,51.5724174972413,60.51090672810872,63.591,3.126,81.39587211830789,67.1451832030454,5.91576715658698,2.84537659375,0.80140256,8.38969935744544,22.577702454,29.3237754107195,2.01714992523193,6.69138419067813,-0.151864704257727,42.740177242997,24.3414161366729,117.271798889798,54.4,61.25,59000000.0,0.856932865076745,4.21400074091718,2002
Bangladesh,641.288922876274,24.096,22.5838118742213,21.8483405815259,50.3141403198242,6.42439985275269,1.66689324749509,61.9618997157749,0.13,35.0,2.0071737421384,32.0980170730117,0.145443904569924,24.179592705355,3.89794627098135,4.84565983723317,28.4222904329444,50.5801185568603,47.0,62.836,3.203,81.39587211830789,67.829792240324,5.86789252454913,2.84537659375,0.394925259,9.25695571842855,22.1507373142,26.9258696430478,2.17193007469177,6.61116027143823,-0.570927482606054,40.2671476674779,24.1743067306933,109.490963870613,55.9,61.28,163843750.0,0.6182038787193795,4.24418629496555,2001
Bangladesh,620.560472822105,23.59,22.2793826819325,22.7181480755923,48.7191314697266,5.46036005020142,1.82732806740512,63.0281199791971,0.071,32.0,2.20825620937535,29.3217143619038,0.525362089236089,21.7793890133235,3.68659677566545,4.97312138319291,27.7974576904575,50.566324299804,60.51090672810872,62.049,3.279,81.39587211830789,68.8735107703625,5.84539079116541,2.84537659375,0.215955426,8.99820323770434,22.9633302352,28.312285791779,2.12508010864258,7.596869860825879,-1.3950463597819212,30.5539892604712,23.8085625731369,99.2535514546941,60.2,57.93,163843750.0,0.6182038787193795,4.61593071489478,2000
Bangladesh,600.232323162952,23.202,22.3758655367007,22.6584111161909,46.9789085388184,5.47931003570557,1.89951780093278,64.4632173151821,0.0362,29.5402145385742,6.10669589841958,28.3879405571158,0.350304290993085,20.9872341323173,3.52403766089633,5.03961520253427,26.6599568153793,50.2007432591683,60.51090672810872,61.244,3.357,81.39587211830789,70.313705784649,5.85048846946689,2.84537659375,0.117549767,8.97864304812787,19.7573057295,31.1302505036908,2.13281989097595,7.596869860825879,-1.3950463597819212,27.8851595216238,22.7213703034657,92.0761347916193,60.5,57.65,163843750.0,0.6182038787193795,4.27488018465311,1999
Bangladesh,584.448175174047,22.818,22.6607423702209,22.5874157614312,43.6955299377441,8.588340140524366,1.88796139153147,65.9837356606054,0.00368,26.7461929321289,8.40223795613228,27.8800634028394,0.380236166897956,20.4966379485471,3.2125653790456,5.12567978040796,25.8340547261519,49.8336270363667,60.51090672810872,60.429,3.427,81.39587211830789,71.8615027523664,5.877767091761,2.84537659375,0.060313402,7.8256481093584,18.5918053801,30.16083573981,1.7326391206847298,7.596869860825879,-1.3950463597819212,26.2325061615944,22.1214128239602,84.0595893614998,60.2,56.93,163843750.0,0.6182038787193795,3.92877381011118,1998
Bangladesh,566.271140847632,22.438,21.8626700944451,23.2461437492233,42.12493005914171,8.588340140524366,1.85349089461291,67.6256350288621,0.000751,22.4,5.30560105668802,26.3255133900833,0.288896567530215,19.9866312756307,3.1641028158335,4.90298208959861,24.397478698652,49.9341757797937,60.51090672810872,59.671,3.502,81.39587211830789,73.5489308582297,5.92329582936759,2.84537659375,0.021304625,8.8533210419986,18.0907959808,28.7377820855822,1.95246994495392,7.596869860825879,-1.3950463597819212,25.9368786504287,21.8162145054057,79.112836217663,60.0,56.34,163843750.0,0.6182038787193795,4.09314727334578,1997
Bangladesh,552.077107138767,22.064,21.6839165728619,23.266208049769,42.12493005914171,8.588340140524366,1.82805195849607,69.413361751118,9.859875222222222,21.1443862915039,2.37712902953223,26.0760877233809,0.0291349551912921,18.9119975738864,2.89557515603607,4.72749921814699,23.1387940832004,50.1242014306067,60.51090672810872,58.94,3.505,81.39587211830789,75.3994031467334,5.98604139561545,2.84537659375,0.003336757,-5.16455193045819,16.7821393167,31.8346085535008,1.7326391206847298,7.596869860825879,-1.3950463597819212,25.6338800863882,20.7299506037379,77.2051238990471,62.1,55.89,163843750.0,0.6182038787193795,3.8615153519071,1996
Bangladesh,537.931946643983,21.693,23.5808244521571,27.3043698025967,42.12493005914171,8.588340140524366,1.85825551797916,71.2558695025262,9.859875222222222,18.3380451202393,10.2978117947206,28.2094960764218,0.00499837818821928,20.8817607372616,3.16729631986545,4.62988612520877,22.1461544905179,45.1285007128911,60.51090672810872,58.244,3.588,81.39587211830789,77.3180471753385,6.06217767281237,2.84537659375,0.002122361,5.45528455877529,14.8038667853,40.2456434408221,1.7326391206847298,7.596869860825879,-1.3950463597819212,28.827915737296,19.1197958221399,73.4908059412871,63.8,54.1,163843750.0,0.6182038787193795,5.87618267417312,1995
Bangladesh,521.323144726555,21.328,23.4699924276778,26.7255375508155,42.12493005914171,8.588340140524366,1.85417955110796,73.0329586551046,9.859875222222222,17.8,5.31374007936498,22.8658645545703,0.033012230974896,16.2711918310691,3.40813403881952,4.88315945317799,22.4171600592845,46.2837782535776,60.51090672810872,57.64,3.737,81.39587211830789,79.1811023453225,6.1481436902179,2.84537659375,0.000954894,9.12576468789762,11.9350344039,44.4817833582431,1.7326391206847298,7.596869860825879,-1.3950463597819212,28.9521640750639,18.402556188374,66.5845797542044,69.0,50.26,163843750.0,0.6182038787193795,4.7820386480821,1994
Bangladesh,511.193509421294,20.966,22.9342560517422,27.3210858173117,42.12493005914171,8.588340140524366,1.86277225280699,74.7303609580557,9.859875222222222,12.7178802490234,3.01481859989799,23.1215830698982,0.0423616549795559,15.2943169244381,3.03732522639564,4.95383869591304,20.901202135505,46.0446640620564,60.51090672810872,57.073,3.832,81.39587211830789,80.9683342071102,6.2379732490545,2.84537659375,0.000440844,13.7409692658164,9.9687258364,41.4603414935952,1.69262003898621,7.596869860825879,-1.3950463597819212,26.2049500333029,17.9468320109013,62.7601107774364,70.5,48.83,163843750.0,0.6182038787193795,4.40676050396341,1993
Bangladesh,497.371173735323,20.61,21.71789053342,30.5175252361271,42.12493005914171,8.588340140524366,1.8848730627462,76.3382387833043,9.859875222222222,9.90541934967041,3.63407691798491,19.9340055024511,0.0117375764038405,14.5455434030437,2.87540936210898,4.45122187024089,21.9940038300746,44.3837968399425,60.51090672810872,56.592,4.027,81.39587211830789,82.6662303344695,6.32799155116521,2.84537659375,0.000224674,11.0503571312982,8.9619867922,41.343960770498,1.63177001476288,7.596869860825879,-1.3950463597819212,24.8676501147129,17.3050292766937,56.2559438289877,71.6,46.74,163843750.0,0.6182038787193795,4.01189827121794,1992
Bangladesh,480.673358976087,20.257,21.1195045357667,31.6770232352381,42.12493005914171,8.588340140524366,1.91061096227259,77.9021033100956,9.859875222222222,14.29,6.35736412278234,18.8898268850747,0.00449146424413688,15.9199092838791,2.48523337346491,4.13633163394744,22.5604059246532,44.3573351255736,35.0,53.781,4.261,81.39587211830789,84.324547486233,6.42244417613743,2.84537659375,0.0,11.7189873524357,7.1298567546,41.1077239040266,1.42566001415253,7.596869860825879,-1.3950463597819212,24.0087114615132,16.8959474633294,46.7891314472187,73.1,44.72,163843750.0,0.6182038787193795,3.63830550997608,1991
Bangladesh,473.444821021085,19.811,20.1456258361335,30.4898330963098,20.4544296264648,4.32926988601685,1.9903336888239,79.4157675632042,0.0,50.852566827535625,6.12671846981458,18.9665020125385,0.0102498457488284,16.0740991530445,2.46489398309466,4.05325016763114,23.0244118634705,46.7006908434731,60.51090672810872,55.822,4.506,78.3366394042969,85.9247940838611,6.50902652065697,2.84537659375,0.0,7.8032155756163,7.4044194338,38.132901218472,1.51911997795105,7.596869860825879,-1.3950463597819212,22.4466391322843,16.4586755151535,46.0076053904037,71.7,45.58,163843750.0,0.6182038787193795,3.45593914293969,1990
Bangladesh,457.254334777705,19.33,19.7867069022062,30.5616428363458,19.8626194000244,3.82814002037048,2.04742252381831,80.8346055296359,9.859875222222222,50.852566827535625,6.04547975596244,18.3251740190693,0.000861339473035719,15.9700311616172,2.63354545837677,4.15394423380197,22.3461680145497,47.1813425526549,60.51090672810872,55.514,4.695,75.5209579467773,87.4129537467084,6.57834821707246,2.84537659375,0.0,6.00688829655354,5.7808733044,36.3751567848296,1.7326391206847298,7.596869860825879,-1.3950463597819212,22.878190439802,16.1209144348967,228.66256251911892,48.66875,65.6730303030303,163843750.0,0.6182038787193795,3.68577927255397,1989
Bangladesh,453.839236883479,18.859,19.9362085702399,31.3191777996177,19.9463500976562,3.9222400188446,2.12729956278453,82.2234904167282,9.859875222222222,50.852566827535625,7.41276595744666,17.6780643099612,0.00691614475605439,14.4149337063544,2.87302747133692,4.16537536251982,22.1958958405226,46.3886719227268,60.51090672810872,55.174,4.849,75.9248962402344,88.8599251003886,6.63643468366044,2.84537659375,0.0,6.83736162270725,5.7193374189,37.800824965731,1.7326391206847298,7.596869860825879,-1.3950463597819212,21.484808836741,15.7359830693445,228.66256251911892,48.66875,65.6730303030303,163843750.0,0.6182038787193795,3.3513699494458,1988
Bangladesh,452.659756923731,18.395,19.6008172704812,32.6639009291872,19.9799995422363,4.60726976394653,2.23879919175218,83.5632269286308,9.859875222222222,50.852566827535625,9.87469609126633,16.6877976312963,0.0131907256034205,13.2145308461192,3.07765209527122,4.14317368059806,22.6253771914959,45.4917707766061,60.51090672810872,54.899,5.075,64.6438293457031,90.2459848600441,6.68275793141332,2.84537659375,0.0,3.35321767891823,5.0384700504,39.1603036422247,1.51364004611969,7.596869860825879,-1.3950463597819212,20.8107917938397,15.4734420283602,228.66256251911892,48.66875,65.6730303030303,163843750.0,0.6182038787193795,3.05427605834592,1987
Bangladesh,446.08025306417,17.941,20.3790141468201,32.3691528885324,19.5953998565674,5.3514199256897,2.34793582288977,84.6589551020289,9.859875222222222,50.852566827535625,6.279395130444133,17.0187425082782,0.0111899311751012,12.7433135187019,2.64665008029442,4.20118152968138,22.7760645678478,45.0844194859014,60.51090672810872,54.592,5.302,65.5274887084961,91.3721698738457,6.71321477181679,2.84537659375,0.0,4.37450569364977,4.3254673014,35.6444024869945,1.34349000453949,7.596869860825879,-1.3950463597819212,20.1979115796951,16.1764548292232,228.66256251911892,48.66875,65.6730303030303,163843750.0,0.6182038787193795,3.29772670281445,1986
Bangladesh,438.382478828439,17.496,20.3216634239062,33.0067315667626,20.1269092559814,5.48542022705078,2.4627628154011,85.418738460809,9.859875222222222,50.852566827535625,6.279395130444133,18.2221846249994,-0.0298943959229265,13.0395225459612,2.25541714853454,4.03063329644585,21.5202936429301,44.4174404934751,60.51090672810872,53.937,5.539,65.6518402099609,92.1455045426735,6.72676608186451,2.84537659375,0.0,-6.2119269152058,4.1675546657,28.8235021829114,1.27118003368378,7.596869860825879,-1.3950463597819212,19.5926033985971,15.8309437037216,228.66256251911892,48.66875,65.6730303030303,163843750.0,0.6182038787193795,3.21312806709666,1985
Bangladesh,434.782351604307,17.06,21.4305495950497,34.6986320797597,20.7985191345215,5.34712982177734,2.5678961557477,85.9715698407445,9.859875222222222,50.852566827535625,6.279395130444133,16.8117271749034,-0.00292412703814179,12.5546223106374,2.64653898029897,4.34462740554859,16.2948905366178,41.6474498066682,60.51090672810872,53.826,5.732,67.1345672607422,92.6993942974159,6.72782445667134,2.84537659375,0.0,3.02081321608222,4.6422744711,28.488341241829,1.22302997112274,7.596869860825879,-1.3950463597819212,21.104559839838,16.4842575699599,228.66256251911892,48.66875,65.6730303030303,163843750.0,0.6182038787193795,3.6229341488943,1984
Bangladesh,425.646571168568,16.631,20.8716248676477,31.0460304619363,20.7030200958252,4.85226011276245,2.67956773551459,86.3979898104574,9.859875222222222,50.852566827535625,6.279395130444133,20.3168806212371,0.0022941532029319,9.03444385753996,3.64817267991137,4.3091271083747,23.0995397210434,45.7825820082172,60.51090672810872,53.441,5.906,67.8751373291016,93.1155898082048,6.71759999774748,2.84537659375,0.0,2.43947329768085,3.7140673526,29.5000793798598,1.03267002105713,7.596869860825879,-1.3950463597819212,17.5057063846976,16.5627367701504,228.66256251911892,48.66875,65.6730303030303,163843750.0,0.6182038787193795,3.52650011928518,1983
